Gene_id	Gene_symbol	Organism
UniProtKB:Q12959	DLG1	NCBITaxon:9606
UniProtKB:Q14112	NID2	NCBITaxon:9606
UniProtKB:Q14112	NID2	NCBITaxon:9606
UniProtKB:Q6PCB0	VWA1	NCBITaxon:9606
UniProtKB:Q01955	COL4A3	NCBITaxon:9606
UniProtKB:Q01955	COL4A3	NCBITaxon:9606
UniProtKB:Q01955	COL4A3	NCBITaxon:9606
UniProtKB:O15230	LAMA5	NCBITaxon:9606
UniProtKB:O15230	LAMA5	NCBITaxon:9606
UniProtKB:O15230	LAMA5	NCBITaxon:9606
UniProtKB:O15230	LAMA5	NCBITaxon:9606
UniProtKB:O15230	LAMA5	NCBITaxon:9606
UniProtKB:P98160	HSPG2	NCBITaxon:9606
UniProtKB:P98160	HSPG2	NCBITaxon:9606
UniProtKB:Q9H8L6	MMRN2	NCBITaxon:9606
UniProtKB:P09486	SPARC	NCBITaxon:9606
UniProtKB:P02751	FN1	NCBITaxon:9606
UniProtKB:Q76M96	CCDC80	NCBITaxon:9606
UniProtKB:Q02388	COL7A1	NCBITaxon:9606
UniProtKB:Q08397	LOXL1	NCBITaxon:9606
UniProtKB:Q03001	DST	NCBITaxon:9606
UniProtKB:P14543	NID1	NCBITaxon:9606
UniProtKB:P14543	NID1	NCBITaxon:9606
UniProtKB:P04004	VTN	NCBITaxon:9606
UniProtKB:P04004	VTN	NCBITaxon:9606
UniProtKB:Q96RT1	ERBIN	NCBITaxon:9606
UniProtKB:Q9UHI8	ADAMTS1	NCBITaxon:9606
UniProtKB:P0C091	FREM3	NCBITaxon:9606
UniProtKB:Q96RW7	HMCN1	NCBITaxon:9606
